LOW,HIGH,t1_desi>10_mean_DISTERR/DIST,t1_boss_mean_DISTERR/DIST,t1_others_mean_DISTERR/DIST,t5_33m>10_mean_parallax_error/parallax,t6_17m>10_mean_parallax_error/parallax,t6_220m>10_mean_stellar_params_err[4]/stellar_params_est[4]
7.383127225866217,7.761512496191861,0.0,0.0,0.0,0.0,0.0,0.0
7.761512496191861,8.159290011621694,0.0,0.0,0.0,0.0,0.0,0.0
8.159290011621692,8.577453624717304,0.0,0.0,0.0,0.0,0.0,0.0
8.577453624717306,9.017048122984068,0.0,0.0,0.0,0.0,0.0,0.0
9.017048122984068,9.479171839287002,0.0,0.0,0.0,0.0,0.0,0.0
9.479171839287,9.96497939605046,0.0,0.0,0.0,0.0,0.0,0.0
9.96497939605046,10.475684590098046,0.5471458403428512,0.12316234105058751,0.17160481591826035,0.3159654162524334,0.1987372566495622,0.1256043303956498
10.475684590098046,11.012563425340572,0.5590557000992596,0.11695874248794762,0.16768840021743806,0.3346988069281099,0.2010091980885803,0.12943216424996662
11.012563425340572,11.576957300889276,0.5609848392827494,0.13266097249096154,0.16729432331432698,0.3568046203399161,0.20219500857599762,0.13411008255043028
11.576957300889275,12.17027636255985,0.5699728467857724,0.11793040017421672,0.16900154525475922,0.3774423053205851,0.20443398413258318,0.0
12.170276362559852,12.794003026141045,0.5765688278917454,0.12338499550803274,0.16267869991264924,0.0,0.0,0.14520909186430409
12.794003026141043,13.449695681230772,0.5793729052395048,0.11903068351712699,0.16338583616547336,0.4288209642062669,0.20960397450366527,0.15143153843130117
13.449695681230772,14.138992584893849,0.5816200228141635,0.11143915858639065,0.16178952667327226,0.4542763602950468,0.21162253671300316,0.0
14.13899258489385,14.86361595486966,0.5831172222357911,0.11711228953695198,0.15743652894209326,0.0,0.0,0.0
14.86361595486966,15.62537627255673,0.5915892522565186,0.12519773535440318,0.15952199398263273,0.0,0.0,0.1652837044405752
15.62537627255673,16.426176806525262,0.5861797259535185,0.12185732154500749,0.15902827736171835,0.0,0.0,0.1668744428241886
16.426176806525262,17.268018367859682,0.5869122299382867,0.12179799063055943,0.1633843594853354,0.0,0.0,0.16297722845558105
17.268018367859682,18.15300430921249,0.59384142749256,0.11630201369236132,0.1595931482603906,0.6206227325504076,0.22327641689963365,0.16085208126320483
18.15300430921249,19.08334578005963,0.5945532347095919,0.09972973915939454,0.1635963692233078,0.6665549473062575,0.22513090054137358,0.1538167162142601
19.083345780059634,20.06136725128769,0.5995508807615859,0.11159463957841927,0.16766214366356372,0.0,0.0,0.0
20.06136725128769,21.089512322916185,0.6025541452723971,0.0953523479093479,0.1579268606182622,0.0,0.0,0.0
21.089512322916182,22.170349829465636,0.607046465166541,0.10052311327934367,0.1604737280379833,0.7960284873260827,0.23338648319821628,0.0
22.17034982946564,23.306580258225754,0.6056897344957624,0.09972461824458254,0.15578294510504628,0.0,0.0,0.11703386998329407
23.30658025822575,24.50104249645982,0.6120888525370929,0.08098203728335097,0.16705119131886426,0.8948458885901595,0.2354453404673166,0.10626634601503611
24.501042496459824,25.756720924403393,0.5991720104036559,0.09231125514552656,0.16853690522695597,0.0,0.0,0.13653419725596905
25.75672092440339,27.076752871779064,0.6237211098463222,0.10060640417374273,0.17373688136615867,0.0,0.0,0.08135021291673183
27.076752871779064,28.46443645645774,0.6191216917480181,0.08628186720842349,0.1568131021142067,1.0990508477110985,0.0,0.0
28.46443645645774,29.9232388248512,0.630755414589426,0.08788670249835757,0.1557953450157268,1.1581552409402427,0.0,0.12094929814338684
29.923238824851197,31.45680481462482,0.6313110611677948,0.09154112017590303,0.16027856837570786,1.225724901702344,0.0,0.0
31.456804814624824,33.06896606137435,0.6414757494878298,0.08978861137875788,0.16641651484028747,1.3110657592639474,0.0,0.0
33.06896606137435,34.76375057201978,0.6589191018559452,0.07410795789639098,0.14396139103167271,1.3666068875002024,0.0,0.0
34.76375057201978,36.5453927888358,0.6580098677995799,0.08773144094483011,0.15686389718025862,1.4769741482708478,0.0,0.0
36.5453927888358,38.418344169263634,0.6405728304871963,0.08172585611240966,0.15899238765986057,0.0,0.0,0.0
38.418344169263634,40.387284307938394,0.6581394383909718,0.08239933829503851,0.15327076210696733,1.655817129055576,0.0,0.0
40.387284307938394,42.45713262872024,0.6545569080787415,0.07390091747140073,0.1535729408599173,1.7623064788123717,0.0,0.0
42.45713262872024,44.633060675942154,0.6582282877801409,0.07029633529236563,0.14559897546820122,1.888302020414632,0.0,0.0
44.633060675942154,46.92050503558419,0.6442947100352668,0.068516917685677,0.14532154037473063,1.9922365715702666,0.0,0.0
46.92050503558419,49.325180918657885,0.6444485202171414,0.07433722437594095,0.1399209568392417,0.0,0.0,0.0
49.32518091865788,51.853096440739094,0.651976947530141,0.06958327257524827,0.12997155511189062,2.205536045493081,0.0,0.0
51.853096440739094,54.51056763332697,0.6355600845906357,0.05737360284269871,0.13327121107986398,0.0,0.0,0.0
54.51056763332697,57.30423422453498,0.6501065421950372,0.0665019728332248,0.1386385285802291,2.5357442699053787,0.0,0.0
57.30423422453499,60.241076228542404,0.6631681881659505,0.06451133755623473,0.14226961855194112,0.0,0.0,0.0
60.241076228542404,63.3284313852552,0.6730363696597821,0.0867704095803079,0.12908973540572405,0.0,0.0,0.0
63.32843138525521,66.57401349374953,0.68441082716683,0.07104099038359248,0.10272879337234911,0.0,0.0,0.0
66.57401349374953,69.9859316853042,0.7034745160402013,0.05546641810999789,0.11058950627420876,0.0,0.0,0.0
69.9859316853042,73.57271068417603,0.7343585198485082,0.07352755146543466,0.10643085293962588,0.0,0.0,0.0
73.57271068417604,77.34331210674007,0.7313853368472775,0.08534118448265267,0.10720626118290909,0.0,0.0,0.0
77.34331210674006,81.30715685221048,0.7317619163803876,0.06665807926555858,0.09798373165659298,3.581984687652037,0.0,0.0
81.30715685221048,85.47414864088627,0.7560496321531717,0.06916548368358624,0.10304511081524334,3.8054284459784187,0.0,0.0
85.47414864088628,89.8546987587317,0.74057624087674,0.057934998440754976,0.15165437674939103,0.0,0.0,0.0
89.8546987587317,94.4597520701167,0.762809908081717,0.08079582461778005,0.07661081301050322,4.336135155136365,0.0,0.0
94.4597520701167,99.30081436371019,0.8421274261545033,0.017063878658831983,0.285939384526226,4.583323153442757,0.0,0.0
99.3008143637102,104.38998109985035,0.7563209900985685,0.0,0.45592114889317586,0.0,0.0,0.0
104.38998109985035,109.73996763121768,0.8346420434561358,0.0,0.08672373575359905,0.0,0.0,0.0
109.73996763121767,115.36414097231757,0.796836113065915,0.0,0.0,5.158232307879338,0.0,0.0
115.36414097231757,121.27655319714884,0.7882754553855698,0.0,0.0904737310458733,0.0,0.0,0.0
121.27655319714886,127.49197654850273,0.8000150157114935,0.0,0.09023543001845784,0.0,0.0,0.0
127.49197654850273,134.0259403466135,0.7734295233844978,0.0,0.0,0.0,0.0,0.0
134.0259403466135,140.89476978937745,0.8183542044465658,0.0,0.0,0.0,0.0,0.0
140.89476978937745,148.11562674108305,0.8361776530353825,0.0,0.13094417643004824,0.0,0.0,0.0
148.11562674108305,155.70655261156355,0.7375899022343034,0.0,0.0,0.0,0.0,0.0
155.70655261156355,163.6865134329062,0.8609226998450199,0.0,0.0,7.428289647530664,0.0,0.0
163.6865134329062,172.07544724634263,0.8070772858869828,0.0,0.0,0.0,0.0,0.0
172.07544724634263,180.8943139177177,0.9559551939993658,0.0,0.0,0.0,0.0,0.0
180.89431391771768,190.16514750600072,0.928735086635011,0.0,0.0,8.909060407227551,0.0,0.0
190.16514750600072,199.91111131568326,0.9045885704433685,0.0,0.48012567247454124,0.0,0.0,0.0
199.91111131568329,210.15655577061204,0.8700932107910979,0.0,0.0,0.0,0.0,0.0
210.15655577061202,220.92707925385588,0.8471228245485675,0.0,0.0,10.256901613852051,0.0,0.0
220.9270792538559,232.249592065616,0.9170201851640223,0.0,0.0,10.984160929172031,0.0,0.0
232.249592065616,244.15238365897883,0.9565379668037753,0.0,0.0,11.964609497649686,0.0,0.0
244.15238365897883,256.6651933215015,0.9730533883319332,0.0,0.0,12.232010923754803,0.0,0.0
